id,title,release_date,vote_average,vote_count
278,The Shawshank Redemption,1994-09-23,8.712,28911
238,The Godfather,1972-03-14,8.686,21855
240,The Godfather Part II,1974-12-20,8.57,13201
424,Schindler's List,1993-12-15,8.566,16721
389,12 Angry Men,1957-04-10,8.548,9412
129,Spirited Away,2001-07-20,8.536,17499
155,The Dark Knight,2008-07-16,8.523,34421
19404,Dilwale Dulhania Le Jayenge,1995-10-20,8.515,4507
497,The Green Mile,1999-12-10,8.503,18379
496243,Parasite,2019-05-30,8.497,19505
122,The Lord of the Rings: The Return of the King,2003-12-17,8.489,25469
680,Pulp Fiction,1994-09-10,8.486,29095
372058,Your Name.,2016-08-26,8.479,11999
13,Forrest Gump,1994-06-23,8.465,28645
429,"The Good, the Bad and the Ugly",1966-12-22,8.464,9173
157336,Interstellar,2014-11-05,8.461,37896
769,GoodFellas,1990-09-12,8.455,13638
346,Seven Samurai,1954-04-26,8.453,3985
12477,Grave of the Fireflies,1988-04-16,8.45,6102
637,Life Is Beautiful,1997-12-20,8.44,13547
550,Fight Club,1999-10-15,8.438,30776
14537,Harakiri,1962-09-15,8.434,1116
11216,Cinema Paradiso,1988-11-17,8.4,4611
598,City of God,2002-08-30,8.429,7800
667257,Impossible Things,2021-06-17,8.427,413
40096,A Dog's Will,2000-09-15,8.424,1182
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.424,26396
539,Psycho,1960-06-22,8.421,10513
510,One Flew Over the Cuckoo's Nest,1975-11-19,8.413,10953
121,The Lord of the Rings: The Two Towers,2002-12-18,8.409,22930
696374,Gabriel's Inferno,2020-05-29,8.407,2433
311,Once Upon a Time in America,1984-05-23,8.406,5730
255709,Hope,2013-10-02,8.398,800
324857,Spider-Man: Into the Spider-Verse,2018-12-06,8.397,16456
4935,Howl's Moving Castle,2004-09-09,8.396,10532
1891,The Empire Strikes Back,1980-05-20,8.4,17698
378064,A Silent Voice: The Movie,2016-09-17,8.383,4221
770156,Lucy Shimmers and the Prince of Peace,2020-10-19,8.4,320
423,The Pianist,2002-09-17,8.381,9689
244786,Whiplash,2014-10-10,8.376,15924
